               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12065,            0.026322,            0.028153,           0.0012003,            0.071603,          0.00089831,          0.00020826,             0.10589,            0.024147,            0.028996,              0.0892,              0.0012,              0.0012
                   1,            0.095201,            0.024017,            0.024199,           0.0034259,             0.38679,            0.019769,           0.0039797,            0.085892,            0.022494,            0.025442,            0.077475,           0.0024753,           0.0024753
                   2,            0.084035,            0.022117,            0.018806,            0.071363,             0.25789,            0.072172,            0.016796,            0.076413,            0.019322,            0.020398,            0.065725,           0.0037248,           0.0037248
                   3,             0.07538,            0.019313,            0.017095,             0.65601,             0.28684,             0.16836,            0.048891,            0.069639,            0.018295,            0.018105,            0.053949,           0.0049485,           0.0049485
                   4,            0.071768,            0.018682,            0.012846,             0.57686,             0.18421,            0.098003,            0.023636,            0.072055,            0.017228,            0.017757,            0.042147,           0.0061466,           0.0061466
                   5,            0.067583,            0.018264,              0.0113,             0.61295,             0.20789,             0.18277,            0.045039,            0.071278,             0.01542,            0.014915,            0.030319,           0.0073188,           0.0073188
                   6,            0.065568,            0.017967,            0.010235,             0.84283,             0.29275,             0.45105,             0.12973,            0.070615,             0.01507,            0.012842,            0.018465,           0.0084654,           0.0084654
                   7,            0.067308,            0.016882,           0.0078254,             0.67689,             0.33421,             0.26349,             0.07657,            0.068719,            0.014581,             0.01109,            0.009307,            0.009307,            0.009307
                   8,             0.06158,            0.017439,           0.0071981,             0.80239,                0.35,             0.46579,              0.1372,            0.055991,            0.014913,            0.011132,            0.009307,            0.009307,            0.009307
                   9,            0.059736,            0.015157,           0.0053423,             0.84411,             0.35526,             0.46245,              0.1769,            0.063094,             0.01322,            0.012953,            0.009208,            0.009208,            0.009208
                  10,            0.060441,            0.014242,           0.0051578,             0.31179,             0.51629,             0.33356,            0.099236,            0.062515,            0.012976,           0.0095507,            0.009109,            0.009109,            0.009109
                  11,             0.05694,             0.01321,           0.0051648,             0.83437,             0.34531,             0.45678,             0.15522,            0.064371,            0.012127,           0.0063276,             0.00901,             0.00901,             0.00901
                  12,             0.05728,            0.013293,           0.0041506,             0.34384,             0.62184,             0.52302,             0.16728,            0.060776,            0.012631,           0.0066776,            0.008911,            0.008911,            0.008911
                  13,            0.053795,            0.012126,           0.0039649,             0.52811,              0.6361,             0.59314,             0.19799,            0.050822,            0.012846,           0.0074179,            0.008812,            0.008812,            0.008812
                  14,            0.050934,            0.012123,           0.0037374,             0.48765,             0.61985,             0.56236,              0.1969,            0.057043,             0.01216,           0.0065996,            0.008713,            0.008713,            0.008713
                  15,            0.049433,            0.010982,           0.0034323,             0.46392,             0.55304,             0.46386,             0.13951,            0.051668,             0.01223,           0.0077716,            0.008614,            0.008614,            0.008614
                  16,            0.051257,            0.011966,           0.0030636,             0.42674,             0.48433,             0.46118,             0.16412,            0.064427,            0.010863,           0.0062078,            0.008515,            0.008515,            0.008515
                  17,            0.049143,            0.011287,             0.00312,             0.50202,             0.66997,             0.49164,             0.18988,            0.050327,            0.011898,           0.0066632,            0.008416,            0.008416,            0.008416
